Covidence #,Study ID,Title,Reviewer Name,Year of publication,Author contact,Country in which the study conducted,Notes,Level of Evidence,Aims,Nail focus,Study design,Approach 1,Approach 2,Approach 3,Locking description,Fracture description/location,Open/closed fracture description,Reamed description,Post-op weight bearing regime description,Nail removal,Mechanism of injury description,Total number of participants,Inclusion criteria,Exclusion criteria,Outcomes used,Method of outcome,Participants:,Total Male,Total Female,Total Total,Approach1 Male,Approach1 Female,Approach1 Total,Approach2 Male,Approach2 Female,Approach2 Total,Approach3 Male,Approach3 Female,Approach3 Total,Age mean Male,Age mean Female,Age mean Total,Age SD Male,Age SD Female,Age SD Total,Other Male,Other Female,Other Total,Follow up times:,Follow up time(s) time1,Follow up time(s) time2,Follow up time(s) time3,Follow up time(s) time4,Key findings,Limitations
1642,Habernek 1992,Complications of interlocking nailing for lower leg fractures: a 3-year follow up of 102 cases,Consensus,1992,,Other: Austria,,IV,,IPN,Retrospective cohort study,No description,No description,No description,Yes,Yes,Yes,No,Yes,Yes,No,92,,,"Binary yes/no; Alignment; ROM; Other: Complications, Sick leave, Johner & Wruhs criteria, Compartment syndrome, Infection, Binary - long walks, Binary - pain after change of weather, Return to sport/exercise",,,,,,,,92,,,,,,,,,,,,,,,,,33,,,,,
1641,Gregory 1995,"The treatment of closed, unstable tibial shaft fractures with unreamed interlocking nails",Consensus,1995,,United States,,IV,,NR,Case series,No description,NA,NA,Yes,No,Yes,Yes,Yes,No,Yes,38,,,"Binary yes/no; ROM; Other: Union, Binary - stairs, Return to work, Return to sport/exercise, Johner & Wruhs criteria",,,,,,,,38,,,,,,,,,,,,,,,,,26,,,,,
1640,Gorczyca 2002,Modified Tibial Nails for Treating Distal Tibia Fractures,Consensus,2002,,United States,,Other: NA,,NR,Cadaveric,No description,NA,NA,Yes,NA,NA,NA,NA,Other: No,NA,10,,,"Other: Compression stiffness, Torsional stiffness, Peak compression-bending stiffness",,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
1639,Freeman 2011,"Biomechanical Comparison of Tibial Nail Stability in a Proximal Third Fracture: Do Screw Quantity and Locked, Interlocking Screws Make a Difference?",Consensus,2011,afreeman@excelen.org,United States,,Other: NA,,NR,Cadaveric,No description,NA,NA,Yes,NA,NA,No,NA,Other: No,NA,18,,,Other: Implant fatigue life,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
1638,Freedman 1995,Radiographic analysis of tibial fracture malalignment following intramedullary nailing,Consensus,1995,,United States,,IV,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,No,Yes,No,Other: No,Yes,133,,,Nail insertion location; Alignment; Other: Union,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,
1637,Forman 2011,The percutaneous use of a pointed reduction clamp during intramedullary nailing of distal third tibial shaft fractures,Consensus,2011,Jordanna.Forman@nyumc.org,United States,,III,,NR,Retrospective cohort study,No description,NA,NA,Yes,No,Yes,Yes,No,No,Yes,27,,,"Alignment; Other: Rotational deformity, Union",,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,
1636,Finkemeier 2000,"A Prospective, Randomized Study of Intramedullary Nails Inserted With and Without Reaming for the Treatment of Open and Closed Fractures of the Tibial Shaft",Consensus,2000,,United States,,III,,NR,Prospective cohort study,No description,NA,NA,Yes,Other: Yes,Yes,Yes,Yes,Other: No,Yes,94,,,"Other: Union, Hardware failure, Infection, Compartment syndrome, Complications",,,,,,,,94,,,,,,,,,,,,,,,,,19,,,,,
1635,Fanian 2008,Anterior knee pain after unreamed intramedullary nailing of the tibia,Consensus,2008,,Other: Iran,,IV,,IPN,Prospective cohort study,IPN medial parapatellar,IPN transpatellar,NA,Yes,No,Yes,No,No,No,No,232,,,"VAS; Other: Binary - walking, Binary - kneeling, Binary - tailor position, Binary - stair ascent, Binary - stair descent, Binary - rest, Binary - use of Iranian water",,,,,,,,87,,,145,,,,,,,,,,,,,,6,,,,,
1634,Fan 2005,Interlocking nails for displaced metaphyseal fractures of the distal tibia,Consensus,2005,,Other: Taiwan,,III,,IPN,Prospective cohort study,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,20,,,"Alignment; ROM; Other: Union, Rotational deformity, Iowa ankle score",,,,,,,,20,,,,,,,,,,,,,,,,,6,12,"18, 24",,,
1633,Ekeland 1988,Interlocking intramedullary nailing in the treatment of tibial fractures. A report of 45 cases,Consensus,1988,,Other: Norway,,IV,,IPN,Case series,IPN transpatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,45,,,"Surgery time; Alignment; ROM; Other: Union, Time to full weight-bearing, Shortening, Return to work, Change in working capacity, Return to sport/exercise",,,,,,,,45,,,,,,,,,,,,,,,,,16,,,,,
1632,Donald 1983,Treatment of tibial shaft fractures by percutaneous Kuntscher nailing. Technical difficulties and a review of 50 consecutive cases,Consensus,1983,,United States,,IV,,IPN,Case series,IPN transpatellar,NA,NA,No,No,No,Yes,Yes,Yes,Yes,50,,,"Surgery time; Radiation dose; Alignment; Other: Union, Return to work, Shortening, Complications",,,,,,,,50,,,,,,,,,,,,,,,,,12,,,,,
1631,Dogra 2000,Dia-metaphyseal distal tibial fractures — treatment with a shortened intramedullary nail: A review of 15 cases,Consensus,2000,,UK,,IV,,IPN,Retrospective cohort study,IPN transpatellar,NA,NA,No,Yes,Yes,Yes,Yes,Yes,No,15,,,"Binary yes/no; VAS; Alignment; Other: Return to work, Iowa knee score, Shortening, Rotational deformity, Union, Time to full weight-bearing",,,,,,,,15,,,,,,,,,,,,,,,,,56.4,,,,,
1630,Dogra 2002,Late outcome of isolated tibial fractures treated by intramedullary nailing: the correlation between disease-specific and generic outcome measures,Consensus,2002,,UK,,III,,IPN,Retrospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,No,No,Yes,Yes,Yes,Other: Yes,Yes,83,,,"VAS; SF-36; Other: Union, VAS - fracture site (0 - 10), Iowa knee score, Hardware failure, Complications",,,,,,,,75,,,7,,,,,,,,,,,,,,36,,,,,
1629,Devitt 1998,Patellofemoral contact forces and pressures during intramedullary tibial nailing,Consensus,1998,,UK,,Other: NA,,IPN,Cadaveric,IPN medial parapatellar,IPN transpatellar,NA,NA,NA,NA,Yes,NA,Other: No,NA,16,,,"Other: Patellofemoral joint force, Patellofemoral joint pressure",,,,,,,,8,,,8,,,,,,,,,,,,,,,,,,,
1628,DeGiacomo 2016,Alignment After Intramedullary Nailing of Distal Tibia Fractures Without Fibula Fixation,Consensus,2016,anthony.degiacomo@gmail.com,United States,,IV,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,122,,,"Alignment; Other: Union, Complications",,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,
1627,Darabos 2011,Nail position has an influence on anterior knee pain after tibial intramedullary nailing,Consensus,2011,,Other: Croatia,,II,,IPN,Prospective cohort study,IPN medial parapatellar,NA,NA,Yes,No,No,Yes,Yes,Yes,No,50,,,VAS; Nail insertion location,,,,,,,,50,,,,,,,,,,,,,,,,,12,24,36,,,
1626,Court-Brown 1996,Reamed or unreamed nailing for closed tibial fractures: A prospective study in tscherne C1 fractures,Consensus,1996,,UK,,I,ream vs unreamed,IPN,Randomised controlled trial,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,,,"Binary yes/no; ROM; Other: Union, Infection, Reoperation, Hardware failure, Return to work, Binary - awkward positions, Binary - kneeling, Binary - stooping/crawling, Binary - long walks, Binary - stairs, Binary - walking on difficult ground, Binary - jumping, Binary - climbing",,,,,,,,50,,,,,,,,,,,,,,,,,3,6,12,,,
1625,Court-Brown 1997,"Knee Pain After Intramedullary Tibial Nailing: Its Incidence, Etiology, and Outcome",Consensus,1997,,UK,,III,,IPN,Retrospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,Yes,Other: Yes,Yes,Yes,No,No,No,159,,,"VAS; Other: VAS - kneeling (0 - 10), VAS - squatting (0 - 10), VAS - running (0 - 10), VAS - walking (0 - 10), VAS - jumping (0 - 10), VAS - stair ascent (0 - 10), VAS - ladder ascent (0 - 10), VAS - rest (0 - 10), Complications",,,,,,,,62,,,97,,,,,,,,,,,,,,,,,,,no follow up time
1624,Court-Brown 1990,Closed intramedullary tibial nailing. Its use in closed and type I open fractures,Consensus,1990,,UK,,III,,IPN,Retrospective cohort study,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,125,,,"Binary yes/no; Surgery time; Radiation dose; ROM; Other: Union, Hospital stay, Hardware removal, Complications, Return to work, Return to sport/exercise, Shortening, Infection, Compartment syndrome, Nerve damage, Rotational deformity",,,,,,,,125,,,,,,,,,,,,,,,,,3,6,12,20,,
1623,Chakraborty 2011,Surgical Implant Generation Network (SIGN) solid intramedullary interlocking nail in the lower extremity: An observational study from western Nepal,Consensus,2011,drmkc2010@yahoo.com,Other: Nepal,,III,,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,18,,,"Binary yes/no; Other: Infection, Union",,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
1622,Cartwright-Terry 2007,The severity and prediction of anterior knee pain post tibial nail insertion,Consensus,2007,,UK,,III, compare the prevalence of anterior knee pain and functional  impairment  post–tibial  nailing  to  the  contralateral  knee and a background population.,IPN,Retrospective cohort study,IPN medial parapatellar,NA,NA,No,Other: Yes,No,No,No,Yes,No,52,,,"VAS; Alignment; Other: Functional anterior knee pain score (0 - 50), Complications, Union, Rotational deformity, Return to work",,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,
1621,Carr 1991,Biomechanics of rigid tibial nail insertion sites,Consensus,1991,,United States,,"Other: NA, V",,NR,"Other: Cadaveric, Retrospective cohort study",No description,No description,NA,No,Yes,No,No,No,No,No,"8, 27",,,"Binary yes/no; Alignment; Other: Bursting strain, Complications",,,,,,,,8,,,27,,,,,,,,,,,,,,6,36,,,,
1620,Buehler 1997,A Technique for Intramedullary Nailing of Proximal Third Tibia Fractures,Consensus,1997,,United States,,IV,,IPN,Case series,"Other: IPN transpatellar, IPN lateral parapatellar",NA,NA,Yes,No,Yes,No,No,No,Yes,14,,,"Alignment; Other: Union, Complications",,,,,,,,14,,,,,,,,,,,,,,,,,6,,,,,
1619,Bone 1986,Treatment of tibial fractures by reaming and intramedullary nailing,Consensus,1986,,United States,,III,Early retrospective review,NR,Retrospective cohort study,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100,,,"Alignment; ROM; Other: Union, Infection, Shortening",,,,,,,,100,,,,,,,,,,,,,,,,,15,,,,,
1618,Boenisch 1996,Unreamed intramedullary tibial nailing—fatigue of locking bolts,Consensus,1996,,UK,,IV,fatigue of locking bolts,NR,Case series,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,72,,,"Alignment; ROM; Other: Union, Shortening, Rotational deformity, Locking bolt failure, Infection, Hospital stay, Complications",,,,,,,,72,,,,,,,,,,,,,,,,,15.2,,,,,
1617,Blachut 1997,"Interlocking Intramedullary Nailing with and without Reaming for the Treatment of Closed Fractures of the Tibial Shaft. A Prospective, Randomized Study",Consensus,1997,,Canada,,I,ream vs no ream,IPN,Randomised controlled trial,"Other: IPN transpatellar, IPN medial parapatellar",NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,136,,,"Surgery time; Blood loss; Radiation dose; Alignment; Other: Union, Implant failure, Infection, Complications, Reoperation, Shortening, Rotational deformity",,,,,,,,136,,,,,,,,,,,,,,,,,12,,,,,
1616,Bhattacharyya 2006,Knee pain after tibial nailing : The role of nail prominence,Consensus,2006,,United States,,II,,IPN,Retrospective cohort study,"Other: IPN transpatellar, IPN medial parapatellar",NA,NA,Yes,No,Yes,Yes,No,No,No,70,,,"Binary yes/no; Lysholm; Other: VAS - rest (0 - 100), VAS - kneeling (0 - 100), VAS - walking (0 - 100), VAS - running (0 - 100), Nail prominence, Combined VAS score (0 - 300)",,,,,,,,70,,,,,,,,,,,,,,,,,20,,,,,
1615,Bhandari 2008,Randomized trial of reamed and unreamed intramedullary nailing of tibial shaft fractures,Consensus,2008,bhandam@mcmaster.ca,Canada,,I,Reamed vs unreamed,NR,Randomised controlled trial,No description,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1226,,,"Other: Implant exchange, Bone grafting, Complications, Union, Reoperation, Hardware failure",,,,,,,,1226,,,,,,,,,,,,,,,,,12,,,,,
1614,Babis 2006,Eight years’ clinical experience with the Orthofix® tibial nailing system in the treatment of tibial shaft fractures,Consensus,2006,gebabis@med.uoa.gr,Other: Greece,,II,"In this prospective study, we present the clinical and radiographic results of the Orthofix1 tibial nailing system used in the treatment of tibial shaft fractures. ",IPN,Prospective cohort study,IPN transpatellar,NA,NA,Yes,No,Yes,Yes,Yes,Yes,Yes,115,,,"Binary yes/no; Surgery time; Radiation dose; ROM; Other: Union, Complications",,,,,,,,115,,,,,,,,,,,,,,,,,32,,,,,
1613,Audigé 2005,Path analysis of factors for delayed healing and nonunion in 416 operatively treated tibial shaft fractures,Consensus,2005,laurent.audige@aofoundation.org,Other: Switzerland,,III,We used path analyses to investigate prognostic factors associated with the occurrence of delayed  healing  or  nonunion,NR,Retrospective cohort study,No description,NA,NA,No,Yes,Yes,Yes,No,No,Yes,181,,,Surgery time; Other: Union,,,,,,,,181,,,,,,,,,,,,,,,,,15,,,,,
1612,Attal 2012,A multicentre case series of tibia fractures treated with the Expert Tibia Nail (ETN),Consensus,2012,rene.attal@uki.at,Other: Austria,,IV,"present clinical experience   and   outcomes   of   intramedullary   nailing   of proximal,   midshaft   and   distal   tibia   fractures   with   the Expert Tibia Nail ",IPN,Case series,IPN unspecified,NA,NA,Other: Yes,Yes,Yes,Yes,No,No,Yes,185,,,"Alignment; Other: Complications, Implant failure, Infection, Reoperation, Union, Shortening, Rotational deformity",,,,,,,,185,,,,,,,,,,,,,,,,,3,12,,,,
1611,Anglen 1995,A comparison of reamed and unreamed nailing of the tibia,Consensus,1995,,United States,,IV,retrospective review was performed of all tibial fractures treated with interlocking nailing at the authors' institution over the past 5 years in order to compare reamed and unreamed nailing,IPN,Retrospective cohort study,IPN medial parapatellar,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,,,"Binary yes/no; Surgery time; Blood loss; Alignment; Other: Union, Complications",,,,,,,,38,,,,,,,,,,,,,,,,,11.5,,,,,
1609,Alho 1990,Locked intramedullary nailing for displaced tibial shaft fractures,Consensus,1990,,Other: Norway,,IV,,IPN,Case series,IPN unspecified,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,93,,,"Binary yes/no; Surgery time; Alignment; Other: Union, Complications, Return to work, ROM, Shortening, Rotational deformity",,,,,,,,93,,,,,,,,,,,,,,,,,22,,,,,
1608,AlHussainy 2005,Anterior knee pain following intramedullary nailing of tibial shaft fractures: does bony portal point in the sagittal plane affect the outcome?,Consensus,2005,haydaralhussainy@rcsed.ac.uk,UK,,III,,IPN,Case control study,IPN transpatellar,IPN medial parapatellar,NA,No,Yes,Yes,Yes,No,No,Yes,44,,,"Binary yes/no; Surgery time; Nail insertion location; Other: Union, Binary - squatting, Binary - kneeling, Binary - climbing, Binary - walking, Binary - rest",,,,,,,,26,,,18,,,,,,,,,,,,,,25,,,,,
1301,Al-Azzawi 2021,Suprapatellar versus infrapatellar nailing for tibial shaft fractures: A comparison of surgical and clinical outcomes between two approaches,Consensus,2021,mazzawi@doctors.org.uk,UK,Casre series,IV, the aim of this paper is to offer acomparison of surgical and clinical outcomes between the twoapproaches.,IPN vs SPN,Case series,SPN unspecified,IPN unspecified,NA,No,Yes,Yes,No,No,No,Yes,42,,,Lysholm; Surgery time; Radiation dose; Nail insertion location,,,,,,,,22,,,20,,,,,,,,,,,,,,1.5,3,6,,SPN approach reduced operativetime and radiation exposure and achieved greater accuracy of nailentry point compared to IPN approach. Clinical follow up of pa-tients demonstrated higher patient satisfaction scores after SPNtibial nailing when compared to the conventional approach with nochange in complication rate at four months follow-up.,
1299,Baker 2021,Tibial alignment following intramedullary nailing via three approaches,Consensus,2021,hayden.Baker@uchospitals.edu,United States,,III,"evaluate the incidence of malalignment in patients undergoing IMN for tibial shaft fractures treated with the extra-articular lateral parapatellar, suprapatellar, and infrapatellar approaches",Other: IPN vs SE vs SPN,Retrospective cohort study,IPN unspecified,Other: Semi-extended lateral parapatellar (EA),SPN unspecified,Yes,Yes,Yes,No,No,No,Yes,57,,,"Alignment; Other: Union, Reduction (Baumgaertner)",,,,,,,,17,,,19,,,21,,,,,,,,,,,1.5,,,,"no significant difference in fracture reduction angulation, displacement, and gapping in patients treated with an IMN with respect to approach for diaphyseal or metadiaphyseal tibial shaft fractures.","this small, single institution, retrospective pilot study"
1292,Daley-Lindo 2021,Long-Term Patient-Reported Knee Outcomes After Suprapatellar Intramedullary Tibial Nailing,Consensus,2021,johua.alan.parry@gmail.com,United States,,III, report long-term patient-reported knee outcomes after suprapatellar nailing,SPN,Retrospective cohort study,SPN midline,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,35,,,Other: Tegner,,,25,7,,,,35,,,,,,,,,32,,,,,,,,60,,,,At long-term follow-up a majority of patients undergoing suprapatellar nailing had good/excellent knee outcomes,"lack of a control group and its reliance on phone survey information. As such, we are unable to comment on clinical or radiographic outcomes like range of motion or arthritic changes, and how this compares to infrapatellar nailing. We were only able to successfully contact and survey 35 patients due the inherent difficulties of contacting a trauma population several years after injury, which could also bias our results"
1289,Fontalis 2021,"A comparison of anterior knee pain, kneeling pain and functional outcomes in suprapatellar versus infrapatellar tibial nailing",Consensus,2021,alex_trompeter@hotmail.com,UK,,III," assess whether generalised knee pain, anterior knee pain and kneeling pain was more prevalent or severe in patients who underwent suprapatellar tibial nailing compared to patients undergoing nailing via the infrapatellar approach.",IPN vs SPN,Retrospective cohort study,SPN midline,IPN transpatellar,NA,No,Yes,No,No,No,No,No,102,,,"Binary yes/no; Kujala; Oxford; Other: NRS - knee pain (0 - 3), NRS - kneeling (0 - 3), Binary - kneeling",,,,,,,,61,,,41,,,,,,,,,,,,,,6,,,,"no statistical difference between the severity of knee pain, kneeling pain and the Kujala score in patient post suprapatellar tibial nailing technique or infra-patellar tibial nailing technique. However, we found a trend towards lower reported anterior knee pain in the suprapatellar group","Given the retrospective nature of our project, we acknowledge that it was not randomised or prospective. "
1288,Graulich 2021,"Patella baja after intramedullary nailing of tibial fractures, using an infrapatellar/transtendinous approach, predicts worse patient reported outcome",Consensus,2021,graulich.tilman@mh-hannover.de,Other: Germany,,III,"determine the effect of intramedullary nailing of proximal (type 41-A2 and -A3 according to AO) and diaphyseal tibial fractures (type 42-A to -C according to AO) via an infrapatellar/transtendinous approach, on the sagittal patellofemoral alignment, to evaluate the knee joint function",IPN,Retrospective cohort study,IPN transpatellar,NA,NA,Yes,Yes,No,Yes,No,No,No,78,,,"Kujala; Lysholm; Other: Insall-Salvati ratio, Nail tip position",,,,,78,,,78,,,,,,,,,,,,,,,,,1.5,3,6,12,Patella baja in patients after tibial intramedullary nailing via an infrapatellar/transtendinous approach can be observed in more than 10% and is associated with worse subjective function and increased pain," First, the high rate of patients with no clinical scoring (62%). Second, pre-operative lateral knee x-ray are not always performed in 30° flexed knees, decreasing the accuracy of the radiological measurement"
1286,Hague 2021,Nailing distal tibial fractures: does entry technique affect distal alignment?,Consensus,2021,matthewrhague@doctors.org.u,UK,,III,observe if malalignment of distal third tibial fractures may differ between two nailing techniques.,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN unspecified,NA,No,No,Yes,No,No,No,No,125,,,Alignment,,,,,,,,74,,,51,,,,,,,,,,,,,,,,,,Our study agrees with previous work suggesting that the suprapatellar technique allows for improved reduction of the fractured extremity in the coronal plane,"Other limitations include that this study relies on the use of plain radiographic imaging, in which views are unlikely to be true AP and lateral projections, due to the limitations of patient positioning in the radiology depart-ment"
1285,Khan 2021,Comparison of Medial Parapatellar and Transpatellar Tendon Approach in Intramedullary Interlocking Nailing for Tibial Fracture: A Retrospective Analysis,Consensus,2021,noah_khan@hotmail.com,UK,,IV,assess the mean pain score after nailing for a tibial fracture using a medial parapatellar versus a transpatellar tendon method retrospectively,IPN,Retrospective cohort study,IPN transpatellar,IPN medial parapatellar,NA,No,No,Yes,No,No,No,No,60,,,Other: VAS (ND),,,,,,,,30,,,30,,,,,,,,,,,,,,3,,,,Our experience shows that the use of the medial parapatellar approach is associated with a lower mean pain score than the transpatellar technique,"small patient sample, short patient follow-up, and solely a comparison of knee pain with surgical treatments."
1278,Lu 2021,Semi-extended intramedullary nailing of the tibia using an infrapatellar approach: a retrospective cohort study,Consensus,2021,"hongzhenwang2003@sina.com 
",Other: China,,III,compare the clinical and functional outcomes of the semi-extended infrapatellar (SEIP) approach and hyper-flexed infrapatellar (HFIP) approach for intramedullary nailing to treat tibial shaft fractures,Other: IPN vs SE,Retrospective cohort study,Other: Semi-extended lateral paratendinous (EA),IPN transpatellar,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,80,,,"Binary yes/no; Lysholm; VAS; SF-36; Surgery time; Radiation dose; Alignment; Other: Union, Hospital stay, Infection",,,,,,,,40,,,40,,,,,,36.7,,,,,,,,1,2,3,"6, 12",This novel technique provides an infrapatellar option for semi-extended tibial nailing, this study conducted a retrospective analysis of the earliest cases to establish the novelty of this method.
1272,Metcalf 2021,Comparison of infrapatellar and suprapatellar approaches for intramedullary nail fixation of tibia fractures,Consensus,2021,metcalf.katy@gmail.com,United States,,III,"assess clinical, radiographic, and functional out-comes after intramedullary nail (IMN) fixation of tibia fractures with an infrapatellar approach compared to a suprapatellar approach.",IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN unspecified,NA,No,Yes,Yes,No,No,No,Yes,208,,,"Binary yes/no; Other: Union, Infection, PROMIS-PI, PROMIS-PF",In person,,,,,,,107,,,101,,,,,,,,,,,,,,3,6,12,,IMN fixation of tibia fractures through a suprapatellar IMN fixation of tibia fracture is independently associated with a lower risk of malunion and postoperative knee pain compared to an infrapatellar approach,"These include  the inherent bias associated  with retrospective analysis, surgeon preferences both intra opera-tively and postoperatively, the wide range of fracture types,the weight bearing status of patients postoperatively, the influence of intra-articular involvement, the contribution of concomitant fibular fixation, and patient comorbidities"
1265,Shi 2021,Infrapatellar Saphenous Nerve Is at Risk During Tibial Nailing: An Anatomic Study,Consensus,2021,shi.glenn@mayo.edu,United States,,Other: NA,Determine the location and stage of the tibial nailing procedure where infrapatellar saphenous nerve (IPSN) injury may occur,IPN vs SPN,Cadaveric,SPN midline,IPN medial parapatellar,NA,Yes,NA,NA,Yes,NA,Other: No,NA,14,,,Other: Saphenous nerve damage,,,,,,,,6,,,8,,,,,,,,,,,,,,,,,,"Injury to the IPSN can occur at different locations and stages of tibial nailing, including approach, proximal locking screw insertion, and closure","First, we used a single tibial nail for all specimens. Second, the nail was placed without the assistance of fluoroscopy to evaluate the depth of the nail."
1259,Zhao 2021,Lateral position: a friendly surgical position for intramedullary nailing of tibial shaft fractures via infrapatellar approach,Consensus,2021,doctortaocs@sina.com,Other: China,,III,investigated the utility of the lateral position in the infrapatellar approach to intramedullary nailing of tibial shaft fractures,IPN,Retrospective cohort study,IPN unspecified,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,112,,,"Binary yes/no; Surgery time; Blood loss; Radiation dose; Alignment; Other: RUST score, Lower Extremity Functional Scale, Infection, Complications, Rotational deformity",,,,,,,,112,,,,,,,,,,,,,,,,,12,,,,"Tibial intramedullary nailing via the infrapatellar approach with patients  in  the  lateral  position  overcomes the shortcomings  of  the  conventional  supine  position,shortens the operation, the intraoperative use of fluoroscopy, and reduces the incidence of postoperative malunion, while also requiring no special tools or surgical instruments.",retrospective design and relatively small sample size.
1258,Zhu 2021,Comparison of clinical efficacy of suprapatellar and infrapatellar intramedullary nailing in treating tibial shaft fractures,Consensus,2021,jzguan2002@163.com,Other: China,,III,To compare clinical efficacies of suprapatellar and infrapatella rintramedullary nailing approaches in treating tibial shaft fractures,IPN vs SPN,Retrospective cohort study,SPN midline,IPN transpatellar,NA,Yes,No,No,No,Yes,No,Yes,110,,,"Lysholm; SF-36; ROM; Other: Hospital for Special Surgery knee score, VAS (ND)",,,,,,,,55,,,55,,,,,,,,,,,,,,6,,,,"The  clinical  efficacy  of  the  suprapatellar approach  was  significantly  higher  than  that  of the infrapatellar approach, and the suprapatellar approach can significantly reduce the degree of pain, promote the recovery of patients with knee joint  involvement,  improve  the  physical  and psychological well-being, reduce the number of cases of postoperative delayed healing",patients were only followed up for a duration of six months.
1254,Xu 2020,Tibial intramedullary nailing in the lateral decubitus position: Technical notes and preliminary clinical outcomes,Consensus,2020,fangshiyuan2008@126.com,Other: China,,IV,We attempted to perform IMN for tibial fractures in the lateral decubitus position to make the process easier both for surgeons and radiographers.,IPN,Case series,IPN unspecified,NA,NA,Yes,Yes,Yes,Yes,Other: No,No,No,36,,,Surgery time; Radiation dose; Alignment; Other: Union,,,,,36,,,36,,,,,,,,,,,,,,,,,12,,,,Tibial IMN through an infrapatellar approach in the lateral decubitus position may be a valuable alternative as itsimplifies the procedure for both surgeons and radiographers.,The limitations of this modified technique are the same as the conventional supine infrapatellar approach
1249,Singh 2020,Supra-patellar nailing for isolated closed tibial shaft fractures: Medium term functional outcomes from an Academic Level 1 Trauma centre,Consensus,2020,,UK,,IV,"assess functional outcome, at medium-term followup, in patients undergoing intra-medullary nailing of tibial shaft fractures, using the supra-patellar approach",SPN,Case series,SPN lateral,NA,NA,Yes,No,Yes,Yes,No,No,No,22,,,"Kujala; Oxford; Other: VAS - knee pain (0 - 100), Union",,,,,,,,22,,,,,,,,,,,,,,,,,60,,,,"supra-patellar tibial nailing have better outcomes at 15 months compared to traditional infra-patellar nailing and more importantly, they continue to do well even at 5 years, despite perceived risks associated with this technique","It lacks objective evidence in the form of MRI or arthroscopic findings, to support our PROM scores. It could however be argued that in the absence of pre-injury MRI or arthroscopy, post-operative MRI or arthroscopic find-ings would be of questionable value in explaining post-operative residual pain. The small numbers in our study make it susceptible to bias."
1236,Lu 2020,Comparison of suprapatellar versus infrapatellar approaches of intramedullary nailing for distal tibia fractures,Consensus,2020,gukemt@163.com,Other: China,,III,analyze and compare the clinical and functional outcomes of distal tibia fractures treated with intramedullary nailing (IMN) using the suprapatellar (SP) and infrapatellar (IP) surgical approaches,IPN vs SPN,Retrospective cohort study,SPN midline,IPN transpatellar,NA,Yes,Yes,No,No,No,No,No,63,,,"Lysholm; Surgery time; Blood loss; Other: Union, Complications, American Orthopaedic Foot and Ankle Society scale, VAS (ND)",,,,,,,,27,,,36,,,,,,,,,,,,,,12,,,,"The results demonstrated higher functional outcomes, lower knee pain, and lower rate of malalignment with the SP approach than with the IP approach.",this was a retrospective single-center study with a small sample size. he patellofemoral joint was evaluated by radiography.
1234,Lu 2020,Comparison between infrapatellar and suprapatellar approaches for intramedullary nailing for the fractures of the tibial shaft,Consensus,2020,dongqirong@suda.edu.au,Other: China,dongqirong@suda.edu.cn,III,compare the outcomes at the clinical and functional levels of suprapatellar (SP) and infrapatellar (IP) approaches for intramedullary nailing in treating tibial shaft fracture,IPN vs SPN,Retrospective cohort study,SPN unspecified,IPN medial parapatellar,NA,Yes,Yes,Yes,No,No,No,Yes,81,,,"Binary yes/no; Lysholm; Surgery time; Blood loss; Radiation dose; Alignment; Other: Complications, Irrigation volume, Pain diagram",,,,,,,,38,,,43,,,,,,,,,,,,,,12,,,,"Compared with the IP approach, the application of intramedullary nailing by SP approach for treating tibial shaft fractures can effectively shorten the intraoperative fluoroscopy time, correct coronal plane angulation and translation deformity, reduce the incidence of AKP and improve post-operative function",retrospective cohort control study with a lower evidence-based level. The final sample size included in the analysis was small. baseline of fracture align-ment was not compared between the two groups
